id,Hostnames,site,role,vendor,model,os_version,mgmt_ip,uptime_days,cpu_pct,mem_pct,interfaces,last_seen,owner,notes
1,core-rtr-01,nyc-dc1,core-router,Cisco,ASR-9904,7.5.2,10.10.0.1,412,18,62,128,2026-04-17,netops,primary egress NYC
2,core-rtr-02,nyc-dc1,core-router,Cisco,ASR-9904,7.5.2,10.10.0.2,409,21,64,128,2026-04-17,netops,backup egress NYC
3,core-rtr-03,sfo-dc1,core-router,Juniper,MX240,21.4R3,10.20.0.1,287,12,55,96,2026-04-17,netops,primary egress SFO
4,core-rtr-04,sfo-dc1,core-router,Juniper,MX240,21.4R3,10.20.0.2,288,14,57,96,2026-04-17,netops,backup egress SFO
5,dist-sw-01,nyc-dc1,distribution,Arista,7280R3,4.29.3M,10.10.1.1,201,8,41,48,2026-04-17,netops,row A spine
6,dist-sw-02,nyc-dc1,distribution,Arista,7280R3,4.29.3M,10.10.1.2,201,7,40,48,2026-04-17,netops,row B spine
7,dist-sw-03,nyc-dc1,distribution,Arista,7280R3,4.29.3M,10.10.1.3,201,9,42,48,2026-04-17,netops,row C spine
8,dist-sw-04,sfo-dc1,distribution,Cisco,Nexus 9504,10.3(2),10.20.1.1,156,11,48,72,2026-04-17,netops,row A spine
9,dist-sw-05,sfo-dc1,distribution,Cisco,Nexus 9504,10.3(2),10.20.1.2,156,10,47,72,2026-04-17,netops,row B spine
10,tor-sw-01,nyc-dc1,top-of-rack,Mellanox,SN2700,3.10.4172,10.10.10.1,98,4,28,32,2026-04-17,netops,rack A1
11,tor-sw-02,nyc-dc1,top-of-rack,Mellanox,SN2700,3.10.4172,10.10.10.2,98,5,29,32,2026-04-17,netops,rack A2
12,tor-sw-03,nyc-dc1,top-of-rack,Mellanox,SN2700,3.10.4172,10.10.10.3,98,4,27,32,2026-04-17,netops,rack A3
13,tor-sw-04,nyc-dc1,top-of-rack,Mellanox,SN2700,3.10.4172,10.10.10.4,42,6,30,32,2026-04-17,netops,rack B1 (recent reload)
14,tor-sw-05,nyc-dc1,top-of-rack,Mellanox,SN2700,3.10.4172,10.10.10.5,98,5,28,32,2026-04-17,netops,rack B2
15,tor-sw-06,sfo-dc1,top-of-rack,Arista,7050X3,4.30.1F,10.20.10.1,143,7,33,32,2026-04-17,netops,rack A1
16,tor-sw-07,sfo-dc1,top-of-rack,Arista,7050X3,4.30.1F,10.20.10.2,143,8,34,32,2026-04-17,netops,rack A2
17,fw-edge-01,nyc-dc1,firewall,Palo Alto,PA-5450,11.1.3,10.10.0.10,67,22,71,16,2026-04-17,secops,internet edge primary
18,fw-edge-02,nyc-dc1,firewall,Palo Alto,PA-5450,11.1.3,10.10.0.11,67,24,72,16,2026-04-17,secops,internet edge secondary
19,fw-edge-03,sfo-dc1,firewall,Fortinet,FortiGate-3500F,7.4.4,10.20.0.10,52,19,68,24,2026-04-17,secops,internet edge primary
20,fw-edge-04,sfo-dc1,firewall,Fortinet,FortiGate-3500F,7.4.4,10.20.0.11,52,21,69,24,2026-04-17,secops,internet edge secondary
21,lb-pub-01,nyc-dc1,load-balancer,F5,VIPRION C2400,17.1.1.4,10.10.0.20,234,15,52,8,2026-04-17,netops,public VIPs
22,lb-pub-02,sfo-dc1,load-balancer,F5,VIPRION C2400,17.1.1.4,10.20.0.20,189,17,54,8,2026-04-17,netops,public VIPs
23,wan-rtr-01,den-pop,wan-edge,Cisco,ASR-1006-X,17.9.4a,10.30.0.1,512,9,38,16,2026-04-17,netops,Denver POP
24,wan-rtr-02,sea-pop,wan-edge,Cisco,ASR-1006-X,17.9.4a,10.40.0.1,498,11,39,16,2026-04-17,netops,Seattle POP
25,wan-rtr-03,atl-pop,wan-edge,Juniper,MX204,22.2R3,10.50.0.1,376,8,35,8,2026-04-17,netops,Atlanta POP
26,wan-rtr-04,chi-pop,wan-edge,Juniper,MX204,22.2R3,10.60.0.1,355,10,36,8,2026-04-17,netops,Chicago POP
27,oob-mgmt-01,nyc-dc1,oob,Lantronix,SLC8000,8.7.1,10.10.255.1,742,2,15,48,2026-04-17,netops,"console server, primary"
28,oob-mgmt-02,sfo-dc1,oob,Lantronix,SLC8000,8.7.1,10.20.255.1,698,2,16,48,2026-04-17,netops,"console server ""main"""
29,wifi-ctrl-01,nyc-dc1,wifi,Cisco,C9800-CL,17.12.3,10.10.50.1,123,6,44,4,2026-04-17,netops,campus controller
30,wifi-ctrl-02,sfo-dc1,wifi,Cisco,C9800-CL,17.12.3,10.20.50.1,89,7,45,4,2026-04-17,netops,campus controller
31,vpn-conc-01,nyc-dc1,vpn,Cisco,ASA 5585-X,9.20.2,10.10.0.30,178,13,49,8,2026-04-17,secops,remote access
32,vpn-conc-02,sfo-dc1,vpn,Cisco,ASA 5585-X,9.20.2,10.20.0.30,178,12,48,8,2026-04-17,secops,remote access
33,ips-sensor-01,nyc-dc1,ids-ips,Cisco,Firepower 4145,7.4.1,10.10.0.40,91,28,75,4,2026-04-17,secops,inline at edge
34,ips-sensor-02,sfo-dc1,ids-ips,Cisco,Firepower 4145,7.4.1,10.20.0.40,91,29,76,4,2026-04-17,secops,inline at edge
35,proxy-out-01,nyc-dc1,proxy,Squid,Custom-Build,6.7,10.10.60.1,300,5,32,2,2026-04-17,secops,outbound web
36,dns-auth-01,nyc-dc1,dns,Infoblox,TE-1425,9.0.5,10.10.70.1,612,3,22,2,2026-04-17,netops,authoritative DNS
37,dns-auth-02,sfo-dc1,dns,Infoblox,TE-1425,9.0.5,10.20.70.1,612,3,21,2,2026-04-17,netops,authoritative DNS
38,dns-rec-01,nyc-dc1,dns,Infoblox,TE-825,9.0.5,10.10.70.10,612,4,25,2,2026-04-17,netops,recursive resolver
39,dns-rec-02,sfo-dc1,dns,Infoblox,TE-825,9.0.5,10.20.70.10,612,4,26,2,2026-04-17,netops,recursive resolver
40,ntp-srv-01,nyc-dc1,ntp,Meinberg,LANTIME M3000,7.06.013,10.10.80.1,899,1,8,2,2026-04-17,netops,GPS-disciplined
41,ntp-srv-02,sfo-dc1,ntp,Meinberg,LANTIME M3000,7.06.013,10.20.80.1,899,1,8,2,2026-04-17,netops,GPS-disciplined
42,collector-01,nyc-dc1,monitoring,Custom,Linux x86_64,Ubuntu 22.04,10.10.90.1,234,38,68,2,2026-04-17,sre,Telegraf + InfluxDB
43,collector-02,sfo-dc1,monitoring,Custom,Linux x86_64,Ubuntu 22.04,10.20.90.1,234,36,67,2,2026-04-17,sre,Telegraf + InfluxDB
44,grafana-01,nyc-dc1,monitoring,Custom,Linux x86_64,Ubuntu 22.04,10.10.90.10,234,12,42,2,2026-04-17,sre,dashboards
45,jump-host-01,nyc-dc1,bastion,Custom,Linux x86_64,Ubuntu 22.04,10.10.99.1,401,3,18,2,2026-04-17,secops,SSH bastion
46,jump-host-02,sfo-dc1,bastion,Custom,Linux x86_64,Ubuntu 22.04,10.20.99.1,398,3,17,2,2026-04-17,secops,SSH bastion
47,backup-srv-01,nyc-dc1,backup,Custom,Linux x86_64,Rocky 9.3,10.10.95.1,287,7,55,2,2026-04-17,sre,nightly config backups
48,syslog-01,nyc-dc1,logging,Custom,Linux x86_64,Ubuntu 22.04,10.10.85.1,290,15,61,2,2026-04-17,sre,rsyslog + Loki
49,syslog-02,sfo-dc1,logging,Custom,Linux x86_64,Ubuntu 22.04,10.20.85.1,290,14,60,2,2026-04-17,sre,rsyslog + Loki
50,radius-01,nyc-dc1,aaa,Cisco,ISE 3.3,3.3 patch 5,10.10.40.1,167,9,37,2,2026-04-17,secops,802.1X + TACACS+
,,,,,,,,,,,,,,
